股票编号,上市年限,所属行业,所属概念板块
1915,7,制造业,虚拟现实;5G应用;科技龙头;苹果;消费电子产业;基金重仓(季调);标普道琼斯概念;中小创蓝筹;特斯拉;预增;手机外壳;超涨;智能手表
1916,1,文化、体育和娱乐业,最小市值;文化传媒概念;预减
1917,1,制造业,次新股;智能电网;物联网
1918,8,制造业,最小市值;股票质押;*ST;ST概念;重组
1919,19,制造业,啤酒;重组;最小市值
1920,19,批发和零售业,超涨;半导体分立器件;绿色节能照明;地方国企
1921,21,制造业,预减;大盘蓝筹;标普道琼斯概念;可转债
1922,1,信息传输、软件和信息技术服务业,次新股
1923,8,制造业,股票质押;预减;国产化创新;基金重仓(季调);肺炎概念;生物疫苗;大盘蓝筹;血液制品;创新药;员工持股
1924,3,水利、环境和公共设施管理业,环保概念;含可转债;高送转概念;医废处理;污水处理;可转债;PPP
1925,7,制造业,超涨;油气管网升级
1926,1,信息传输、软件和信息技术服务业,新零售;移动支付;数字货币;次新股
1927,24,建筑业,中朝经济特区;地方国企;PPP;超涨;特色小镇;东北振兴;预增
1928,14,制造业,涉矿;预增;超涨;重组;借壳上市
1929,15,金融业,融资融券;万得A50;行业龙头;沪伦通;护城河;富时罗素概念;基金重仓(季调);证金概念;含H股的A股;国家队;MSCI大盘;融资融券标的;基金重仓;预增;标普道琼斯概念
1930,15,建筑业,一带一路;成渝特区;融资融券;地方国企;标普道琼斯概念;国家队;预增;融资融券标的
1931,17,制造业,小金属;含B股的A股;预增;标普道琼斯概念
1932,1,制造业,封板新股;次新股
1933,3,制造业,小盘成长;工业4.0;标普道琼斯概念;基金重仓(季调)
1934,21,交通运输、仓储和邮政业,地方国企;低价小市值;智能物流;长江经济带;物流骨干网;预增
1935,26,制造业,上海国资改革;地热能;浦东新区;股权转让;举牌;地方国企;含B股的A股
1936,3,文化、体育和娱乐业,影视;文化传媒概念;股票质押
1937,11,制造业,大盘蓝筹;护城河;基因检测;融资融券;融资融券标的;标普道琼斯概念;股票质押
1938,17,制造业,标普道琼斯概念;国家队;草甘膦;融资融券;预减;融资融券标的
1939,12,信息传输、软件和信息技术服务业,国家队;融资融券标的;5G应用;标普道琼斯概念;融资融券;超涨;核高基
1940,25,房地产业,最小市值;*ST;网络彩票;互联网金融;外资并购;增持;ST概念;举牌
1941,9,建筑业,超涨;预增;光伏;国家队
1942,1,制造业,次新股
1943,3,制造业,白酒;股票质押;标普道琼斯概念
1944,11,制造业,射频及天线;消费电子产业;手机陶瓷外壳;基金重仓(季调);标普道琼斯概念;融资融券标的;制造业单项冠军企业;无线充电;员工持股;智能手表;基站;珠三角;富士康概念;小米产业链;融资融券
1945,8,制造业,制造业单项冠军企业;航母;员工持股;标普道琼斯概念
1946,1,制造业,虫害防治;预增
1947,22,制造业,预减;并购阶段(需定增);地方国企;融资融券标的;融资融券;甲醇
1948,23,制造业,重组;并购阶段(需定增);国资改革;玻璃;中国建材集团;央企;超涨;国企混改;含H股的A股;预增;标普道琼斯概念
1949,1,文化、体育和娱乐业,预增;次新股;近端次新股
1950,21,批发和零售业,地方国企;物联网;安防监控
1951,7,制造业,股权转让;重组;股票质押;举牌;高校
1952,13,制造业,基金重仓(季调);标普道琼斯概念;超涨
1953,8,制造业,预增;电子商务;股票质押;珠三角;行业龙头;超涨;大消费;O2O;标普道琼斯概念;预减
1954,2,制造业,高送转概念;国产化创新;无人驾驶
1955,16,交通运输、仓储和邮政业,粤港澳自贸区;国家队;一带一路;珠三角;中字头;预增;标普道琼斯概念;央企
1956,24,制造业,浦东新区;含B股的A股;*ST;江苏省国资;地方国企;员工持股;ST概念
1957,8,制造业,预增;调味品;股票质押
1958,8,制造业,钢结构;东北振兴;预增
1959,8,制造业,智能电网;轨道交通;股票质押;能源互联网;超涨;充电桩;最小市值;高送转概念;新能源汽车
1960,18,采矿业,页岩气;国企混改;地方国企;甲醇;标普道琼斯概念;小盘成长;摘帽;基金重仓(季调)
1961,22,综合,浦东新区;融资融券;房屋租赁;地方国企;创投;上海自贸区;标普道琼斯概念;上海国资改革;迪士尼;上海本地重组;科技园区;融资融券标的;MSCI大盘;蚂蚁金服;国家队
1962,7,制造业,供应链金融;举牌;制造业单项冠军企业;国家队
1963,1,制造业,次新股;制造业单项冠军企业
1964,8,制造业,智能电网;能源互联网
1965,11,住宿和餐饮业,预增;地方国企;养老产业;O2O;江苏省国资
1966,7,制造业,预增
1967,25,批发和零售业,O2O;增持;护城河;融资融券;陆股通50;东北振兴;国家队;融资融券标的;举牌;标普道琼斯概念
1968,14,制造业,增持;重组;国家队
1969,13,交通运输、仓储和邮政业,南京市国资;江苏省国资;长江经济带;地方国企;国家队;原油储运
1970,1,制造业,预减;合资企业;次新股;近端次新股;集成电路;电路板
1971,8,制造业,超涨;员工持股;轨道交通
1972,3,制造业,预增;可燃冰;页岩气
1973,3,批发和零售业,医疗改革;含可转债;可转债
1974,3,制造业,小盘成长;草甘膦;标普道琼斯概念;虫害防治
1975,20,农、林、牧、渔业,央企;国资改革;预减;舟山新区;重组
1976,4,制造业,国产化创新;半导体材料;半导体产业
1977,21,房地产业,装配式建筑;标普道琼斯概念;福建自贸区;新型城镇化;地方国企;高送转概念
1978,23,制造业,标普道琼斯概念;预减;重组
1979,3,制造业,家纺
1980,11,制造业,融资融券标的;锂电池;国家队;锂矿;融资融券;新能源汽车;标普道琼斯概念
1981,18,制造业,阿里巴巴概念;手机产业;超涨
1982,3,制造业,国家队;超涨
1983,22,采矿业,股票质押;小金属;地方国企
1984,3,制造业,股票质押;超涨
1985,22,交通运输、仓储和邮政业,标普道琼斯概念;福建自贸区;地方国企;预增
1986,7,制造业,预增;员工持股;雄安新区;医疗改革;医保概念
1987,1,制造业,超涨;次新股;近端次新股
1988,14,交通运输、仓储和邮政业,车联网;地方国企
1989,9,制造业,MSCI中盘;超涨;充电桩;融资融券标的;高铁;智能电网;制造业单项冠军企业;融资融券;股票质押;轨道交通;员工持股
1990,15,制造业,西部水泥;融资融券标的;CDM项目;小盘成长;央企;一带一路;融资融券;水泥
1991,14,制造业,机床;制造业单项冠军企业;国家队;股票质押;工业4.0
1992,10,建筑业,MSCI大盘;国家队;一线龙头;沪伦通;央企;护城河;万得A50;PPP;含H股的A股;大央企重组;证金概念;融资融券标的;高铁;基金重仓(季调);预增;轨道交通;中字头;融资融券;标普道琼斯概念;可转债;雄安新区;行业龙头;大盘蓝筹;一带一路
1993,1,制造业,预减;次新股;近端次新股;光通信;光模块
1994,21,制造业,融资融券;CDM项目;融资融券标的;预增;地方国企;出口型企业
1995,3,制造业,锂电池;小盘成长;中小创蓝筹;国产化创新;锂电正极;超涨;股票质押
1996,19,制造业,精准扶贫;医保概念
1997,7,批发和零售业,汽车后市场;员工持股;股票质押;超涨;高送转概念;O2O
1998,1,批发和零售业,健康中国;次新股;珠三角;标普道琼斯概念;二线龙头
1999,12,建筑业,大飞机;轨道交通;股票质押;超涨;PPP
2000,1,租赁和商务服务业,超涨;次新股
2001,18,制造业,行业龙头;融资融券;高端装备制造;标普道琼斯概念;融资融券标的;含H股的A股;国家队;一带一路;预增;MSCI大盘;固废处理;参股宁德时代
2002,3,制造业,小盘成长;锂电池;动力电池;ETC;超涨;举牌
2003,1,制造业,次新股;医疗器械
2004,6,制造业,新材料;超涨;氢能;股票质押;大飞机;供应链金融;燃料电池
2005,12,制造业,融资融券;融资融券标的;半导体产业;传感器;苹果;智能手表;超涨;半导体分立器件;集成电路;标普道琼斯概念;车联网;5G应用
2006,14,制造业,轨道交通;预增;标普道琼斯概念;融资融券标的;央企;高铁;融资融券
2007,10,交通运输、仓储和邮政业,舟山新区;锂电池;金融改革;标普道琼斯概念;合同能源管理;芯片国产化;含可转债;可转债;绿色节能照明;预减
2008,1,制造业,次新股;物联网
2009,1,科学研究和技术服务业,次新股;近端次新股
2010,11,金融业,一线龙头;基金重仓(季调);融资融券;中小创蓝筹;可转债;国家队;MSCI大盘;融资融券标的;QFII重仓;标普道琼斯概念;大盘蓝筹;基金重仓
2011,2,制造业,超涨;医疗器械
2012,7,信息传输、软件和信息技术服务业,科技龙头;股票质押;融资融券;融资融券标的;5G应用;超涨;知识产权;数字中国;行业龙头;文化传媒概念;护城河
2013,3,制造业,高送转概念;含可转债;地方国企
2014,20,水利、环境和公共设施管理业,*ST;股票质押;ST概念;低价小市值;新型城镇化;地方国企;东北振兴
2015,7,制造业,超涨;含可转债;光纤;可转债;国家队
2016,1,制造业,超涨;高频PCB;新材料;富士康概念;次新股
2017,25,制造业,广东省国资;鸡产业;地方国企;广东国资改革;金融改革;预增;猪产业
2018,3,制造业,独家药;预减
2019,7,制造业,预增;融资融券标的;员工持股;融资融券;小盘成长;大盘蓝筹;国家队;中小创蓝筹;标普道琼斯概念
2020,6,制造业,合资企业;超跌;国家队;超涨
2021,1,制造业,出口型企业;次新股;含可转债
2022,22,电力、热力、燃气及水生产和供应业,地方国企;东北振兴;预增
2023,25,制造业,粤港澳大湾区;广东国资改革;地方国企;粤港澳自贸区;化妆品;员工持股;广东省国资;预增
2024,1,科学研究和技术服务业,标普道琼斯概念;次新股;预增;共享单车
2025,1,制造业,集成电路;预增;次新股
2026,22,租赁和商务服务业,金融改革;标普道琼斯概念;股票质押;融资融券标的;一带一路;国家队;融资融券;金控平台
2027,7,信息传输、软件和信息技术服务业,基金重仓(季调);云计算;国产软硬件;国家队;超涨;5G应用;电子政务
2028,2,金融业,MSCI大盘;富时罗素概念;一线龙头;浦东新区;标普道琼斯概念;融资融券;大盘蓝筹;融资融券标的;沪伦通
2029,13,建筑业,标普道琼斯概念;融资融券标的;大盘蓝筹;中字头;国家队;一带一路;央企;融资融券
2030,4,制造业,
2031,3,制造业,超涨;出口型企业;举牌;5G;光通信;光模块;基站
2032,10,信息传输、软件和信息技术服务业,融资融券;MSCI大盘;标普道琼斯概念;人工智能;行业龙头;国产化创新;数字中国;智能家居;智能音箱;智能穿戴;在线教育;智能电视;国家队;生物识别;消费电子产业;智能手表;科技龙头;手机产业;预增;护城河;融资融券标的
2033,7,农、林、牧、渔业,海南省国资;MSCI大盘;国家队;海南自贸港;地方国企;土地流转;融资融券;融资融券标的;预减
2034,1,制造业,超涨;次新股;高送转;地方国企;小盘绩优;生物疫苗;广东省国资;深圳市国资
2035,1,制造业,次新股;预减;近端次新股
2036,22,电力、热力、燃气及水生产和供应业,标普道琼斯概念;增持;固废处理;LNG;草甘膦
2037,21,制造业,融资融券;磷酸铁锂电池;国家队;股票质押;融资融券标的
2038,1,制造业,标普道琼斯概念
2039,11,制造业,超涨;5G应用;锂电池;标普道琼斯概念;磷酸铁锂电池;含可转债;智能家居;物联网
2040,9,制造业,一线龙头;护城河;行业龙头;抗生素;国家队;珠三角;创新药;预减;仿制药;MSCI大盘;融资融券;基金重仓(季调);大盘蓝筹;融资融券标的;大消费;国产化创新;标普道琼斯概念
2041,1,制造业,新材料;预增
2042,7,制造业,智慧农业;融资融券标的;含可转债;融资融券;预增;股权转让
2043,21,制造业,标普道琼斯概念;股票质押;超涨;重组;军民融合
2044,24,批发和零售业,重组;黄金珠宝;房屋租赁;股票质押;标普道琼斯概念
2045,15,交通运输、仓储和邮政业,融资融券;地方国企;预增;标普道琼斯概念;金控平台;融资融券标的
2046,9,制造业,预增;聚碳酸酯;员工持股;新材料;超涨;液晶显示;标普道琼斯概念
2047,7,信息传输、软件和信息技术服务业,传感器;国家队;煤矿智能
2048,1,制造业,近端次新股;次新股;预减
2049,12,制造业,地热能;O2O;合资企业;电子商务;出口型企业;并购阶段(需定增);人民币贬值
2050,8,制造业,出口型企业;超涨;并购阶段(需定增);标普道琼斯概念;医疗器械;医疗改革;健康中国;股票质押;预增
2051,25,房地产业,重组;地方国企;成渝特区;一带一路;国家队;新型城镇化
2052,18,制造业,地方国企
2053,17,交通运输、仓储和邮政业,大盘蓝筹;可转债;含H股的A股;深圳市国资;融资融券标的;地方国企;二线龙头;广东省国资;标普道琼斯概念;国企混改;融资融券;珠三角;环保概念;预增
2054,23,文化、体育和娱乐业,腾讯概念;成渝特区;国家队;融资融券标的;融资融券;地方国企;网络游戏;虚拟现实;文化传媒概念
2055,26,制造业,地方国企;大盘蓝筹;上海国资改革;含B股的A股;标普道琼斯概念;预减
2056,7,制造业,电动物流车;能源互联网;标普道琼斯概念;光伏
2057,12,制造业,预增;染料;股票质押;超涨;员工持股
2058,7,制造业,股票质押;跨境电商;并购阶段(需定增);制造业单项冠军企业;超跌
2059,1,制造业,次新股;合资企业;5G
2060,3,制造业,超涨
2061,16,制造业,打板;合资企业;融资融券标的;超涨;融资融券;可转债
2062,11,采矿业,基金重仓(季调);原油储运;行业龙头;MSCI大盘;融资融券标的;可转债;可燃冰;标普道琼斯概念;沪伦通;央企;大央企重组;国企混改;一带一路;国家队;融资融券;证金概念;万得A50;中字头;含H股的A股
2063,3,信息传输、软件和信息技术服务业,互联网金融;互联网营销;网络游戏;网红经济;电子竞技
2064,25,房地产业,预减;举牌;地方国企
2065,24,制造业,广东省国资;国企混改;调味品;医疗器械;广东国资改革;超涨;预增;地方国企
2066,1,制造业,次新股
2067,21,采矿业,股票质押;ST概念;小金属
2068,25,制造业,智能家居;可转债;预减;地方国企;国家队;含B股的A股
2069,8,信息传输、软件和信息技术服务业,融资融券;预增;护城河;征信;基金重仓(季调);5G应用;MSCI中盘;行业龙头;标普道琼斯概念;电子政务;股票质押;员工持股;科技龙头;金融科技;融资融券标的
2070,18,制造业,低价小市值;举牌;ST概念;*ST;重组;增持
2071,21,制造业,智能电网;并购阶段(需定增);预增;地方国企
2072,2,建筑业,预减;装饰园林;高送转概念
2073,2,制造业,出口型企业;精准扶贫
2074,22,制造业,预增;重组;医保概念
2075,21,电力、热力、燃气及水生产和供应业,风力发电;地方国企
2076,8,租赁和商务服务业,广东省国资;标普道琼斯概念;并购阶段(需定增);融资融券标的;地方国企;融资融券;文化传媒概念;互联网营销
2077,20,制造业,融资融券;打板;锂矿;股票质押;新能源汽车;融资融券标的
2078,18,电力、热力、燃气及水生产和供应业,国家队;大盘蓝筹;护城河;标普道琼斯概念;融资融券标的;预增;央企;行业龙头;融资融券
2079,2,批发和零售业,医疗器械
2080,26,制造业,股权转让;标普道琼斯概念;行业龙头;预减;轨道交通;预增;高铁
2081,7,制造业,国家队;员工持股;股票质押;最小市值;三网融合
2082,8,交通运输、仓储和邮政业,融资融券标的;一带一路;国家队;证金概念;MSCI大盘;行业龙头;融资融券;地方国企;原油储运;护城河;标普道琼斯概念;舟山新区
2083,7,制造业,股票质押;机器人;超涨;并购阶段(需定增);预减;员工持股
2084,22,文化、体育和娱乐业,标普道琼斯概念;国家队;文化传媒概念;地方国企;阿里巴巴概念;融资融券标的;大盘蓝筹;融资融券;知识产权
2085,8,文化、体育和娱乐业,券商重仓;文化传媒概念;音乐产业;360概念;低价小市值;股票质押;员工持股;网络游戏;可转债;网红经济;影视
2086,2,制造业,出口型企业;预增
2087,9,信息传输、软件和信息技术服务业,股票质押;标普道琼斯概念;5G应用;虚拟现实;房屋租赁;科技龙头;供应链金融;网络游戏;移动互联网;国产软硬件;智能电视;网红经济
2088,1,制造业,小盘绩优;次新股
2089,21,文化、体育和娱乐业,虚拟现实;融资融券;国家队;文化传媒概念;标普道琼斯概念;增持;股权转让;举牌;融资融券标的
2090,9,金融业,含H股的A股;标普道琼斯概念;证金概念;预增;融资融券标的;融资融券;MSCI大盘;国家队
2091,3,制造业,股票质押
2092,3,金融业,含H股的A股;行业龙头;证金概念;标普道琼斯概念;MSCI大盘;上海国资改革;基金重仓(季调);融资融券标的;沪伦通;融资融券;含可转债;地方国企;可转债;预增;国家队;护城河;富时罗素概念;万得A50
2093,16,房地产业,江苏省国资;国家队;超涨;地方国企
2094,7,制造业,超涨;重组;工业互联网;核高基;工业4.0;机器人;机床;高校;3D打印;高端装备制造
2095,21,制造业,地方国企;水泥;融资融券标的;标普道琼斯概念;融资融券
2096,1,制造业,预增;次新股;标普道琼斯概念
2097,21,房地产业,文化传媒概念;标普道琼斯概念;股票质押;长三角
2098,9,制造业,苹果;触摸屏;3D玻璃;超涨;富士康概念;员工持股
2099,8,农、林、牧、渔业,标普道琼斯概念;生物育种;股票质押;网络游戏
2100,22,批发和零售业,重组;参股金融;低价小市值;ST概念;互联网金融;涉矿;国家队;职业教育
2101,11,制造业,新材料;风力发电;玻璃;股票质押
2102,21,制造业,增持;锂电池;融资融券标的;超涨;宁德时代产业链;融资融券;长吉图板块
2103,1,制造业,次新股;5G;标普道琼斯概念;宽带提速;光通信
2104,6,信息传输、软件和信息技术服务业,预增;标普道琼斯概念;世界杯;网络彩票;文化传媒概念;国家队;融资融券标的;融资融券
2105,8,制造业,基金重仓(季调);MSCI中盘;智慧农业;融资融券;标普道琼斯概念;融资融券标的;股票质押;行业龙头
2106,1,批发和零售业,次新股;合资企业;医疗器械;最小市值
2107,26,制造业,预增;含B股的A股;液晶显示
2108,24,制造业,举牌;预减;含B股的A股;融资融券标的;融资融券;国家队;抗癌
2109,20,制造业,宽带提速;物联网;4G;5G应用;央企;小米产业链;集成电路;融资融券标的;IPV6;网络游戏;国企混改;半导体产业;芯片国产化;车联网;超涨;三网融合;电子竞技;国家队;融资融券;5G;移动支付
2110,7,制造业,护城河;预增;健康中国;股票质押;标普道琼斯概念
2111,10,制造业,融资融券标的;智慧医疗;医疗器械;员工持股;融资融券;中小创蓝筹;MSCI中盘;二线龙头;超涨;医疗改革;健康中国;标普道琼斯概念
2112,6,制造业,人民币贬值;合资企业;制造业单项冠军企业;棉花
2113,1,制造业,次新股;超涨;军民融合
2114,4,制造业,含可转债;股票质押;供应链金融;基金重仓(季调);可转债;预减;锂电池;小金属;国家队;石墨烯;锂矿;钴矿
2115,19,制造业,国家队;大盘蓝筹;融资融券;基金重仓(季调);融资融券标的;股票质押;流感;生物疫苗;标普道琼斯概念;预减;MSCI中盘
2116,20,制造业,光伏;融资融券;浦东新区;国家队;融资融券标的;新能源;十大军工集团;军民融合;央企;大飞机
2117,25,房地产业,地方国企;国家队;预增;融资融券标的;含B股的A股;迪士尼;上海国资改革;二线龙头;融资融券;上海自贸区;浦东新区
2118,1,信息传输、软件和信息技术服务业,次新股;网络可视化;近端次新股;超涨;标普道琼斯概念;珠三角;预增
2119,1,文化、体育和娱乐业,近端次新股;文化传媒概念;次新股
2120,4,制造业,制造业单项冠军企业;含可转债;国家队;标普道琼斯概念;光伏;员工持股;出口型企业
2121,19,采矿业,地方国企;河北省国资;MSCI中盘;国家队;融资融券;标普道琼斯概念;融资融券标的
2122,11,制造业,股票质押;重组;半导体产业;集成电路;半导体封测;半导体材料
2123,3,制造业,虫害防治;国家队
2124,1,制造业,预增;近端次新股;次新股
2125,4,制造业,股票质押
2126,22,制造业,含H股的A股;轨道交通;标普道琼斯概念;超涨;工业4.0;国产化创新;融资融券;预减;机器人;融资融券标的
2127,20,制造业,股票质押;超涨;低价小市值;调味品;融资融券;融资融券标的
2128,1,制造业,次新股
2129,8,制造业,参股药明康德;股权转让;标普道琼斯概念;民营医院;健康中国;医疗改革;国家队;独家药;精准扶贫;智慧医疗
2130,1,制造业,次新股;地方国企;珠三角;广东省国资
2131,8,制造业,大数据;5G应用;集成电路;芯片国产化;员工持股;安防监控;融资融券标的;半导体产业;合资企业;3D传感;卫星导航;融资融券;生物识别;核高基
2132,15,制造业,超涨;央企;十大军工集团;雄安新区;京津冀一体化;小盘成长
2133,1,制造业,预增;机器人;含可转债;工业4.0;浦东新区;次新股
2134,16,电力、热力、燃气及水生产和供应业,券商重仓;并购阶段(需定增);长吉图板块;核电;央企;预增;标普道琼斯概念;超涨;中朝经济特区
2135,7,制造业,新型显示技术;Micro LED;国家队;重组;员工持股;绿色节能照明;液晶显示
2136,2,建筑业,标普道琼斯概念;高送转概念;可转债;装饰园林
2137,9,制造业,航母;十大军工集团;航空发动机;大飞机;国家队;央企;国产化创新;并购阶段(需定增);融资融券标的;军民融合;新材料;融资融券
2138,10,信息传输、软件和信息技术服务业,数字中国;科技龙头;消费电子产业;区块链;移动支付;网络安全;融资融券标的;云计算;融资融券;数字货币;密码学;5G应用;行业龙头;MSCI中盘;央企;标普道琼斯概念;金融科技
2139,24,制造业,股权转让;含B股的A股;上海本地重组;预增;浦东新区
2140,6,制造业,音乐产业;在线教育;最小市值;K-12教育;国家队
2141,6,采矿业,超涨;广东省国资;地方国企
2142,21,制造业,雄安新区;MSCI中盘;制造业单项冠军企业;装配式建筑;建筑节能;国资改革;国企混改;央企;融资融券;预减;大盘蓝筹;中国建材集团;一线龙头;行业龙头;标普道琼斯概念;超涨;基金重仓(季调);融资融券标的
2143,2,信息传输、软件和信息技术服务业,并购阶段(需定增);智能电网;网络规划建设;超涨
2144,8,信息传输、软件和信息技术服务业,外资并购;小盘成长;重组;网络游戏;电子商务;数字货币;标普道琼斯概念
2145,8,制造业,医疗器械;重组;民营医院
2146,1,制造业,超涨;近端次新股;中朝经济特区;次新股;工业4.0
2147,6,制造业,充电桩;光伏;国家队;绿色节能照明
2148,3,制造业,超涨;人民币贬值;物流骨干网;智能物流
2149,2,制造业,预减;合资企业;高送转概念
2150,1,制造业,近端次新股;小盘绩优;电路板;次新股;标普道琼斯概念;消费电子产业
2151,2,制造业,
2152,1,制造业,次新股;预减
2153,25,房地产业,融资融券;赛马;广东国资改革;地方国企;标普道琼斯概念;广东省国资;预增;融资融券标的;粤港澳大湾区
2154,20,制造业,国资改革;融资融券;血液制品;生物疫苗;二线龙头;禽流感;融资融券标的;干细胞;标普道琼斯概念;国家队;央企;大盘蓝筹;MSCI中盘;流感;医疗改革;肺炎概念
2155,22,制造业,预增;融资融券标的;京津冀一体化;河北省国资;地方国企;融资融券;甲醇
2156,9,批发和零售业,融资融券标的;融资融券;电子商务;O2O;网络彩票;国家队;跨境电商;标普道琼斯概念
2157,1,金融业,可转债;含可转债;标普道琼斯概念
2158,21,制造业,国家队;融资融券;股票质押;融资融券标的;保底增持;黄金珠宝;互联网金融
2159,16,制造业,建筑节能;国家队;玻璃
2160,21,租赁和商务服务业,福建自贸区;智能物流;地方国企;员工持股;物流骨干网;一带一路;社保重仓
2161,14,制造业,中小创蓝筹;白马股;基金重仓(季调);股票质押;小盘成长;标普道琼斯概念
2162,8,制造业,智能穿戴;浦东新区;国家队;股票质押
2163,2,制造业,超涨
2164,7,租赁和商务服务业,征信;第三方支付;金融科技;互联网金融;电子商务;国家队;股票质押;债转股;在线旅游
2165,21,信息传输、软件和信息技术服务业,高校;国产软硬件;核高基;国家队;电子政务;物流骨干网;IDC;移动互联网入口;云计算;科技龙头;轨道交通;5G应用;操作系统;自主可控;国产化创新;物联网;融资融券;区块链;健康中国;预减;融资融券标的;阿里巴巴概念;人工智能
2166,1,制造业,次新股;新材料;中小创蓝筹;近端次新股;国产化创新;行业龙头
2167,4,制造业,抗癌
2168,7,租赁和商务服务业,员工持股;文化传媒概念;绿色节能照明;小盘成长;中小创蓝筹
2169,1,信息传输、软件和信息技术服务业,智慧停车;新零售;超涨;大数据
2170,24,制造业,融资融券;水泥;地方国企;一带一路;融资融券标的;超涨;福建自贸区
2171,24,综合,地方国企;环保概念;江苏省国资;融资融券标的;PM2.5;融资融券
2172,8,制造业,增持;股票质押;供应链金融
2173,21,批发和零售业,涉矿;医疗器械
2174,24,制造业,5G应用;护城河;科技龙头;标普道琼斯概念;国家队;3D传感;超涨;云计算;半导体封测;珠三角;央企;消费电子产业
2175,7,制造业,股票质押;国家队;护城河
2176,19,制造业,基金重仓(季调);护城河;白马股;养老金概念;标普道琼斯概念
2177,6,信息传输、软件和信息技术服务业,超涨;4G;股票质押;重组
2178,8,制造业,机器人;工业4.0
2179,8,制造业,超涨;集成电路;半导体产业;半导体分立器件;国家队
2180,25,金融业,举牌;养老产业;含B股的A股;预减;合资企业;外资并购;超涨
2181,25,制造业,合资企业;融资融券;出口型企业;触摸屏;并购阶段(需定增);员工持股;显示面板;手机屏幕;手机外壳;融资融券标的;3D玻璃;标普道琼斯概念;新型显示技术;液晶显示
2182,3,科学研究和技术服务业,超涨
2183,18,制造业,大盘蓝筹;融资融券标的;预增;制造业单项冠军企业;标普道琼斯概念;基金重仓(季调);行业龙头;PM2.5;环保概念;股票质押;员工持股;融资融券
2184,6,制造业,国产化创新;合资企业;预增
2185,21,采矿业,ST概念;*ST;央企;国家队;煤电重组
2186,7,制造业,超涨;创新药;干细胞;国产化创新;基因检测;股票质押;医疗器械;举牌;生物疫苗
2187,22,房地产业,医保概念;在线教育;员工持股;融资融券标的;职业教育;高校;融资融券
2188,21,制造业,高校;抗癌;医疗改革;重组;干细胞;国家队;民营医院;成渝特区;医保概念
2189,2,制造业,最小市值
2190,10,制造业,国家队;融资融券;标普道琼斯概念;超涨;融资融券标的
2191,22,房地产业,预增;标普道琼斯概念;股票质押;雄安新区;预减
2192,1,科学研究和技术服务业,中小创蓝筹;超涨;MSCI中盘;生物疫苗;大消费;珠三角;行业龙头;次新股;基因检测;肺炎概念
2193,24,金融业,标普道琼斯概念;MSCI大盘;融资融券标的;一线龙头;证金概念;融资融券;金控平台;国家队
2194,26,金融业,可转债;浦东新区;上海国资改革;预减;举牌;上海本地重组;地方国企;重组
2195,14,制造业,股票质押;激光;超涨
2196,2,科学研究和技术服务业,装饰园林;装配式建筑;高送转概念;预增;并购阶段(需定增)
2197,1,信息传输、软件和信息技术服务业,国产软硬件;网络安全;超涨
2198,21,房地产业,融资融券;低价小市值;股票质押;新型城镇化;预增;员工持股;融资融券标的
2199,21,制造业,涉矿;合资企业;超跌;举牌
2200,7,制造业,机器人;智能电视;无人机;消费电子产业;合资企业;融资融券;网络游戏;融资融券标的
2201,19,农、林、牧、渔业,反关税;乳业;地方国企;棉花;国家队;重组
2202,15,采矿业,行业龙头;基金重仓(季调);员工持股;融资融券标的;MSCI大盘;护城河;含H股的A股;融资融券;一线龙头;债转股;人民币贬值;沪伦通;黄金珠宝;标普道琼斯概念;地方国企;证金概念;国家队
2203,8,文化、体育和娱乐业,超涨;网络游戏;标普道琼斯概念;IP流量变现;国家队;基金重仓(季调);文化传媒概念
2204,1,制造业,次新股;预减
2205,11,制造业,融资融券标的;大盘蓝筹;十大军工集团;行业龙头;一线龙头;大飞机;科技龙头;MSCI中盘;标普道琼斯概念;护城河;可转债;央企;基金重仓(季调);中小创蓝筹;国家队;融资融券
2206,14,电力、热力、燃气及水生产和供应业,环保概念;污水处理;地方国企;借壳上市;预增;重组;海绵城市
2207,6,制造业,水利水电建设;海绵城市
2208,12,制造业,阿里巴巴概念;电子商务;化妆品;预减;小盘成长;中日韩自贸区;保底增持;网红经济;员工持股;标普道琼斯概念
2209,21,制造业,地方国企
2210,21,制造业,重组;员工持股;股权转让;地方国企
2211,1,制造业,次新股
2212,16,房地产业,地方国企;新型城镇化;预增;南京市国资;参股金融;赛马;江苏省国资
2213,19,制造业,民营医院;地方国企;南京市国资;江苏省国资;医保概念;国家队;医疗改革;预减
2214,22,制造业,标普道琼斯概念;科技龙头;创投;国家队;大盘蓝筹;MSCI中盘;融资融券标的;宁德时代产业链;锂电池;基金重仓(季调);手机电池;手机产业;新能源汽车;动力电池;融资融券;磷酸铁锂电池;预减;锂电正极;锂电负极
2215,18,金融业,可转债;富时罗素概念;证金概念;标普道琼斯概念;股票质押;融资融券;融资融券标的;国家队;大盘蓝筹;基金重仓(季调);含H股的A股;员工持股;沪伦通;预增;一线龙头;万得A50;MSCI大盘
2216,11,交通运输、仓储和邮政业,大盘蓝筹;金融改革;行业龙头;一线龙头;物流骨干网;可转债;基金重仓(季调);中小创蓝筹;标普道琼斯概念
2217,3,制造业,含可转债;汽车胎压监测;超涨;可转债;预减
